Day,F0_TG,TV_TG,F0c?_TG,F0_VN,TV_VN,Tích l?y F0_TG,Tích l?y TV_TG,Tích l?y F0c?_TG,Tích l?y F0_VN,Tích l?y TV_VN
1/5,0,0,,3,0,0,0,0,3,0
2/5,0,0,,8,0,0,0,0,11,0
3/5,0,0,,10,0,0,0,0,21,0
4/5,0,0,,3,0,0,0,0,24,0
5/5,0,0,,18,0,0,0,0,42,0
6/5,0,0,,64,0,0,0,0,106,0
7/5,0,0,,41,0,0,0,0,147,0
8/5,0,0,,80,0,0,0,0,227,0
9/5,0,0,,92,0,0,0,0,319,0
10/5,0,0,,125,0,0,0,0,444,0
11/5,0,0,,71,0,0,0,0,515,0
12/5,0,0,,82,0,0,0,0,597,0
13/5,0,0,,73,0,0,0,0,670,0
14/5,0,0,,104,0,0,0,0,774,0
15/5,0,0,,165,1,0,0,0,939,1
16/5,0,0,,187,0,0,0,0,1126,1
17/5,0,0,,181,1,0,0,0,1307,2
18/5,0,0,,152,0,0,0,0,1459,2
19/5,0,0,,175,0,0,0,0,1634,2
20/5,0,0,,114,2,0,0,0,1748,4
21/5,0,0,,131,2,0,0,0,1879,6
22/5,0,0,,143,0,0,0,0,2022,6
23/5,0,0,,129,1,0,0,0,2151,7
24/5,0,0,,184,2,0,0,0,2335,9
25/5,0,0,,444,0,0,0,0,2779,9
26/5,0,0,,235,1,0,0,0,3014,10
27/5,0,0,,227,1,0,0,0,3241,11
28/5,0,0,,253,1,0,0,0,3494,12
29/5,0,0,,277,0,0,0,0,3771,12
30/5,0,0,,250,0,0,0,0,4021,12
31/5,0,0,,211,0,0,0,0,4232,12
1/6,0,0,,250,1,0,0,0,4482,13
2/6,0,0,,229,1,0,0,0,4711,14
3/6,0,0,,231,0,0,0,0,4942,14
4/6,0,0,,219,2,0,0,0,5161,16
5/6,1,0,,246,2,1,0,0,5407,18
6/6,0,0,,201,0,1,0,0,5608,18
7/6,0,0,,211,0,1,0,0,5819,18
8/6,0,0,,171,2,1,0,0,5990,20
9/6,0,0,,381,0,1,0,0,6371,20
10/6,2,1,,211,1,3,1,0,6582,21
11/6,0,0,,185,2,3,1,0,6767,23
12/6,10,1,,259,1,13,2,0,7026,24
13/6,0,0,,293,1,13,2,0,7319,25
14/6,14,1,,266,2,27,3,0,7585,27
15/6,0,0,,398,0,27,3,0,7983,27
16/6,0,0,,414,0,27,3,0,8397,27
17/6,13,1,,503,2,40,4,0,8900,29
18/6,0,0,,259,1,40,4,0,9159,30
19/6,3,0,,471,2,43,4,0,9630,32
20/6,0,0,,300,2,43,4,0,9930,34
21/6,2,1,,267,3,45,5,0,10197,37
22/6,5,0,,230,0,50,5,0,10427,37
23/6,0,1,,217,1,50,6,0,10644,38
24/6,9,0,,279,2,59,6,0,10923,40
25/6,8,0,,845,2,67,6,0,11768,42
26/6,0,0,,164,0,67,6,0,11932,42
27/6,0,0,,359,2,67,6,0,12291,44
28/6,0,0,,389,0,67,6,0,12680,44
29/6,22,1,,361,4,89,7,0,13041,48
30/6,0,0,,441,1,89,7,0,13482,49
1/7,38,1,,693,5,127,8,0,14175,54
2/7,0,0,,527,3,127,8,0,14702,57
3/7,12,0,,914,0,139,8,0,15616,57
4/7,29,1,,876,2,168,9,0,16492,59
5/7,11,0,,1089,4,179,9,0,17581,63
6/7,0,0,,1019,7,179,9,0,18600,70
7/7,18,0,,997,5,197,9,0,19597,75
8/7,0,0,,1307,3,197,9,0,20904,78
9/7,34,0,,1616,5,231,9,0,22520,83
10/7,75,1,,1884,2,306,10,0,24404,85
11/7,46,0,,1945,7,352,10,0,26349,92
12/7,118,1,,2367,6,470,11,0,28716,98
13/7,0,0,,2296,7,470,11,0,31012,105
14/7,115,0,,2924,6,585,11,0,33936,111
15/7,0,4,,3379,69,585,15,0,37315,180
16/7,146,3,,3321,18,731,18,0,40636,198
17/7,0,0,,3705,24,731,18,0,44341,222
18/7,31,0,,5887,29,762,18,0,50228,251
19/7,0,0,,4175,80,762,18,0,54403,331
20/7,133,0,,4789,58,895,18,0,59192,389
21/7,65,4,,5343,36,960,22,0,64535,425
22/7,68,5,,6164,87,1028,27,0,70699,512
23/7,95,4,,7295,89,1123,31,0,77994,601
24/7,220,3,,9225,64,1343,34,0,87219,665
25/7,218,5,0,7525,163,1561,39,0,94744,828
26/7,201,4,0,7859,154,1762,43,0,102603,982
27/7,63,5,0,7991,130,1825,48,0,110594,1112
28/7,30,6,0,6555,106,1855,54,0,117149,1218
29/7,0,4,0,7593,233,1855,58,0,124742,1451
30/7,242,6,0,8622,298,2097,64,0,133364,1749
31/7,123,1,0,8620,145,2220,65,0,141984,1894
1/8,0,0,0,8597,122,2220,65,0,150581,2016
2/8,79,1,16,7445,389,2299,66,16,158026,2405
3/8,0,0,0,8377,376,2299,66,16,166403,2781
4/8,0,0,0,7618,256,2299,66,16,174021,3037
5/8,169,27,34,7239,393,2468,93,50,181260,3430
6/8,253,4,51,8320,296,2721,97,101,189580,3726
7/8,165,5,33,7333,254,2886,102,134,196913,3980
8/8,0,0,0,9684,381,2886,102,134,206597,4361
9/8,251,39,50,9323,360,3137,141,184,215920,4721
10/8,100,3,20,8385,388,3237,144,204,224305,5109
11/8,177,12,35,8752,342,3414,156,239,233057,5451
12/8,212,20,57,9653,326,3626,176,296,242710,5777
13/8,0,0,0,9150,275,3626,176,296,251860,6052
14/8,461,5,33,9710,349,4087,181,329,261570,6401
15/8,209,6,34,9574,336,4296,187,363,271144,6737
16/8,152,4,27,8644,368,4448,191,390,279788,7105
17/8,411,7,22,9595,331,4859,198,412,289383,7436
18/8,282,0,63,8644,298,5141,198,475,298027,7734
19/8,478,2,34,10639,380,5619,200,509,308666,8114
20/8,367,7,267,10650,390,5986,207,776,319316,8504
21/8,589,10,53,13417,173,6575,217,829,332733,8677
22/8,709,12,226,11346,737,7284,229,1055,344079,9414
23/8,459,0,317,10383,389,7743,229,1372,354462,9803
24/8,93,1,34,10797,348,7836,230,1406,365259,10151
25/8,319,0,168,12093,335,8155,230,1574,377352,10486
26/8,354,9,189,11569,318,8509,239,1763,388921,10804
27/8,312,0,186,17409,386,8821,239,1949,406330,11190
28/8,241,8,43,12097,352,9062,247,1992,418427,11542
29/8,155,10,24,12752,344,9217,257,2016,431179,11886
30/8,221,7,35,14219,315,9438,264,2051,445398,12201
31/8,214,0,44,12591,244,9652,264,2095,457989,12445
1/9,194,0,24,11429,803,9846,264,2119,469418,13248
2/9,290,7,57,13186,271,10136,271,2176,482604,13519
3/9,154,2,12,14894,308,10290,273,2188,497498,13827
4/9,148,5,18,9521,347,10438,278,2206,507019,14174
5/9,133,5,9,13101,281,10571,283,2215,520120,14455
6/9,234,5,33,12477,311,10805,288,2248,532597,14766
7/9,183,7,26,14193,316,10988,295,2274,546790,15082
8/9,171,7,26,12663,424,11159,302,2300,559453,15506
9/9,115,5,8,12401,345,11274,307,2308,571854,15851
10/9,156,3,37,13306,275,11430,310,2345,585160,16126
11/9,147,2,9,11927,273,11577,312,2354,597087,16399
12/9,628,2,15,12017,261,12205,314,2369,609104,16660
13/9,161,5,27,11168,381,12366,319,2396,620272,17041
14/9,102,7,17,10496,276,12468,326,2413,630768,17317
15/9,93,0,15,10583,250,12561,326,2428,641351,17567
16/9,81,9,4,10482,239,12642,335,2432,651833,17806
17/9,118,2,7,11506,212,12760,337,2439,663339,18018
18/9,197,0,65,9360,220,12957,337,2504,672699,18238
19/9,102,2,14,10025,233,13059,339,2518,682724,18471
20/9,211,0,2,8668,215,13270,339,2520,691392,18686
21/9,105,2,1,11687,240,13375,341,2521,703079,18926
22/9,89,3,13,11525,236,13464,344,2534,714604,19162
23/9,67,1,5,9465,236,13531,345,2539,724069,19398
24/9,112,0,12,8530,203,13643,345,2551,732599,19601
25/9,81,3,8,9682,180,13724,348,2559,742281,19781
26/9,63,2,1,10011,184,13787,350,2560,752292,19965
27/9,58,1,7,9342,174,13845,351,2567,761634,20139
28/9,38,0,1,8000,178,13883,351,2568,769634,20317
29/9,68,1,5,8744,162,13951,352,2573,778378,20479
30/9,49,2,4,7937,203,14000,354,2577,786315,20682
1/10,71,2,3,6941,136,14071,356,2580,793256,20818
2/10,36,1,0,5477,164,14107,357,2580,798733,20982
3/10,13,4,0,5367,114,14120,361,2580,804100,21096
4/10,52,1,8,5382,130,14172,362,2588,809482,21226
5/10,59,0,2,4360,134,14231,362,2590,813842,21360
6/10,72,2,3,4356,119,14303,364,2593,818198,21479
7/10,56,1,3,4147,125,14359,365,2596,822345,21604
8/10,74,0,3,4773,114,14433,365,2599,827118,21718
9/10,44,2,2,4512,105,14477,367,2601,831630,21823
10/10,64,0,5,3513,113,14541,367,2606,835143,21936
11/10,67,1,4,3617,115,14608,368,2610,838760,22051
12/10,20,3,3,2939,93,14628,371,2613,841699,22144
13/10,74,2,6,3458,106,14702,373,2619,845157,22250
14/10,72,0,4,4147,81,14774,373,2623,849304,22331
15/10,70,4,4,3789,93,14844,377,2627,853093,22424
16/10,121,3,6,3211,88,14965,380,2633,856304,22512
17/10,46,0,4,3175,63,15011,380,2637,859479,22575
18/10,94,1,4,3159,75,15105,381,2641,862638,22650
19/10,79,3,5,3027,75,15184,384,2646,865665,22725
20/10,65,4,6,3635,72,15249,388,2652,869300,22797
21/10,82,0,7,3618,71,15331,388,2659,872918,22868
22/10,61,0,4,3977,56,15392,388,2663,876895,22924
23/10,156,2,36,3361,77,15548,390,2699,880256,23001
24/10,78,0,4,4028,53,15626,390,2703,884284,23054
25/10,111,1,15,3620,65,15737,391,2718,887904,23119
26/10,121,3,19,3592,64,15858,394,2737,891496,23183
27/10,127,0,39,4404,54,15985,394,2776,895900,23237
28/10,139,4,16,4876,54,16124,398,2792,900776,23291
29/10,75,2,11,4889,56,16199,400,2803,905665,23347
30/10,223,1,51,5224,64,16422,401,2854,910889,23411
31/10,222,1,24,5504,53,16644,402,2878,916393,23464
